Ticket Number,Date Created,Subject,From,From Email,Priority,Department,Type,Source,Current Status,Last Updated,Due Date,Agent Assigned,Team Assigned,Thread Count,Attachment Count,Category,Issue Origin,Select Ticket Status Update,Breached SLA
111576,12/10/2020,12/03/2020 7:45-7:55 Slow Performance,Aurora Miller,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,1/4/2021,12/10/2020,Jared Smith,SAP Support Team,5,1,PROD,PRODUCTION,Open,No
111581,12/18/2020,HR Technical Analyzer in TEST,Kian Rogers,krogers@mailinator.com,Emergency,SAP JDE Support Department,Request,Web,Closed,1/4/2021,12/18/2020,Jared Smith,JDE Support Team,9,2,NON-PROD,TEST,Close Ticket,No
111586,12/23/2020,Open VPN Authenticator App Setup,Kenex Willows,kwillows@yahoo.com,Emergency,SAP JDE Support Department,Request,Web,Closed,12/28/2020,12/24/2020,Jared Smith,JDE Support Team,7,0,PROD,PRODUCTION,Close Ticket,Yes
111564,11/25/2020,LOGIN ISSUE,Aurora Miller,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,12/10/2020,11/26/2020,Stellar Murad,SAP Support Team,5,1,PROD,PRODUCTION,New Ticket,No
111550,11/10/2020,Can't Access PROD Instance,Riza Richardson,rrichardson@mailinator.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,11/16/2020,11/10/2020,Jared Smith,JDE Support Team,8,1,PROD,PRODUCTION,Close Ticket,Yes
111530,10/8/2020,Absence Duration,Kian Rogers,krogers@mailinator.com,Emergency,SAP JDE Support Department,Request,Web,Closed,10/16/2020,10/9/2020,Jared Smith,JDE Support Team,13,1,NON-PROD,TEST,Close Ticket,No
111511,9/28/2020,Requesting a Server for Deployment,Kenex Willows,jwilberts@mailinator.com,Emergency,Internal Technical Department,Request,Email,Closed,10/7/2020,9/28/2020,Jared Smith,Network Team,5,0,PROD,DEVELOPMENT,New Ticket,No
111493,8/23/2020,Port Issue After Patching Activity (23-AUG-20),Marvin Peters,kwillows@yahoo.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,8/28/2020,8/23/2020,Jared Smith,JDE Support Team,12,3,PROD,PRODUCTION,New Ticket,No
111487,8/15/2020,ERROR 504 GATEWAY TIMEOUT,Tomi Yamamoto,mpeters@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,8/24/2020,8/16/2020,Jared Smith,SAP Support Team,8,1,PROD,PRODUCTION,New Ticket,No
111479,8/7/2020,ERROR FOR WINSCP APPLICATION,Aurora Miller,tyamamoto@gmail.com,Emergency,Internal Technical Department,Incident / Problem,Web,Closed,8/18/2020,8/8/2020,Jared Smith,Network Team,4,1,PROD,DEVELOPMENT,New Ticket,No
111451,7/1/2020,Laptop Repair,Aurora Miller,msmiths@yahoo.com,Emergency,Internal Technical Department,Incident / Problem,Phone,Closed,7/9/2020,7/2/2020,Jared Smith,Network Team,4,0,NON-PROD,DEVELOPMENT,New Ticket,No
111430,6/2/2020,SAP NOT ACCESSIBLE,Aurora Miller,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,6/16/2020,N/A,Jared Smith,SAP Support Team,11,2,PROD,PRODUCTION,Close Ticket,No
111424,5/27/2020,SAP PRODUCTION IS DOWN,Melody Thompson,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,6/10/2020,N/A,Jared Smith,SAP Support Team,12,20,PROD,PRODUCTION,New Ticket,No
111416,4/27/2020,System Downtime,Melody Thompson,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,5/4/2020,N/A,Jared Smith,SAP Support Team,5,2,PROD,PRODUCTION,New Ticket,No
111403,3/23/2020,PROD: Inactive Phase / Status: No Manager,Aurora Miller,mthompson@yahoo.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,3/26/2020,N/A,Jared Smith,JDE Support Team,7,2,PROD,DEVELOPMENT,New Ticket,Yes
111387,2/13/2020,PROD: Slowdown of JDE in Production instance,Marvin Peters,mthompson@yahoo.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,2/18/2020,N/A,Jared Smith,JDE Support Team,10,7,PROD,DEVELOPMENT,New Ticket,Yes
111384,2/10/2020,SQL Access Manager SQL Error,Jasper John,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,2/11/2020,N/A,Jared Smith,AWS Team,5,2,PROD,PRODUCTION,Close Ticket,No
111366,1/3/2020,Error on Finish Enrolling,Tomi Yamamoto,mpeters@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,1/14/2020,N/A,Jared Smith,SAP Support Team,10,2,PROD,DEVELOPMENT,New Ticket,Yes
111364,1/3/2020,"Slow loading in SAP - Jan 3, 6 2020",John Brown,jasper.john@gmail.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,1/10/2020,N/A,Jared Smith,SAP Support Team,11,4,PROD,DEVELOPMENT,New Ticket,Yes
111357,12/10/2019,Request for reconfigure of Palo Alto,Melody Thompson,tyamamoto@gmail.com,Emergency,Internal Technical Department,Request,Web,Closed,12/18/2019,12/11/2019,Stellar Murad,Network Team,4,0,N/A,N/A,New Ticket,No
111347,11/22/2019,"SAP Production Downtime Issue - Nov 21, 22",Jasper John,jbrown@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,12/12/2019,11/23/2019,Jared Smith,SAP Support Team,6,1,N/A,N/A,New Ticket,Yes
111331,10/23/2019,Delete or Rollback a payroll run,Atom Short,mthompson@yahoo.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,11/4/2019,10/25/2019,Jared Smith,JDE Support Team,30,26,N/A,N/A,New Ticket,No
111246,7/1/2019,Batch Process of student groups not working.,Tomi Yamamoto,jasper.john@gmail.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,10/22/2019,7/2/2019,Jared Smith,SAP Support Team,14,3,N/A,N/A,Close Ticket,No
111265,7/18/2019,BPM Staging error,Aurora Miller,atom.short@gmail.com,Emergency,Internal Technical Department,Incident / Problem,Web,Closed,10/1/2019,7/19/2019,Stellar Murad,Help Desk Team,7,0,N/A,N/A,New Ticket,No
111306,9/21/2019,PALO ALTO DEVICE NO LIGHTS ON LAN PORTS,Jasper John,tyamamoto@gmail.com,Emergency,Internal Technical Department,Incident / Problem,Web,Closed,9/27/2019,9/21/2019,Stellar Murad,Network Team,11,2,N/A,N/A,New Ticket,No
111147,3/19/2019,CANNOT LOGIN IN SAP,Julius Wright,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,9/11/2019,3/19/2019,Jared Smith,SAP Support Team,24,9,N/A,N/A,Close Ticket,No
111254,7/9/2019,SAP is not Accessible,Marvin Peters,jasper.john@gmail.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,9/11/2019,N/A,Jared Smith,SAP Support Team,21,6,N/A,N/A,Close Ticket,No
111283,8/8/2019,JDE Prod not available (08 August 2019),Wilson Campus,jwirght@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,8/28/2019,8/8/2019,Jared Smith,JDE Support Team,9,1,N/A,N/A,New Ticket,Yes
111258,7/11/2019,ERROR 504,Paul Jiggins,mpeters@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,7/17/2019,7/11/2019,Jared Smith,SAP Support Team,10,5,N/A,N/A,Close Ticket,No
111222,6/4/2019,Create specific function in the Responsibility,Julius Wright,wilson.campus@yahoo.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,6/14/2019,6/7/2019,Jared Smith,JDE Support Team,25,8,N/A,N/A,New Ticket,No
111210,5/27/2019,Error Loading Position List in Authority to Travel,John Brown,pjiggins@yahoo.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,6/14/2019,6/10/2019,Jared Smith,JDE Support Team,9,5,N/A,N/A,New Ticket,Yes
111168,4/4/2019,JDE Prod Slowdown 04 April 2019,Wilson Campus,jwirght@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,6/14/2019,4/5/2019,Jared Smith,JDE Support Team,25,5,N/A,N/A,Close Ticket,Yes
111225,6/6/2019,Unable to Login in Prod Instance,Julius Wright,jbrown@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,6/13/2019,6/6/2019,Jared Smith,SAP Support Team,11,1,N/A,N/A,Close Ticket,No
111219,5/31/2019,oracle HRMS - Element Entry setup,Julius Wright,wilson.campus@yahoo.com,Emergency,SAP JDE Support Department,Request,Web,Closed,6/10/2019,6/10/2019,Jared Smith,JDE Support Team,14,6,N/A,N/A,New Ticket,No
111188,4/29/2019,JDE PROD - Error in Workflow Background Process,Julius Wright,jwirght@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,6/4/2019,4/30/2019,Jared Smith,JDE Support Team,45,3,N/A,N/A,Close Ticket,Yes
111184,4/24/2019,JDE PROD - Slowdown access (24 Apr 2019),Julius Wright,jwirght@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,5/14/2019,4/25/2019,Jared Smith,JDE Support Team,14,1,N/A,N/A,New Ticket,No
111171,4/8/2019,JDE Prod Error - Fail Web Server (08 Apr 2019),Julius Wright,jwirght@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,4/29/2019,4/8/2019,Jared Smith,JDE Support Team,15,1,N/A,N/A,New Ticket,No
111181,4/22/2019,JDE PROD - Request not completing (22 Apr 2019),Julius Wright,jwirght@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,4/24/2019,4/22/2019,Jared Smith,JDE Support Team,18,5,N/A,N/A,New Ticket,No
111178,4/17/2019,JDE Prod Slowdown (17 Apr 2019),Aurora Miller,jwirght@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,4/24/2019,4/17/2019,Jared Smith,JDE Support Team,13,1,N/A,N/A,New Ticket,Yes
111108,2/1/2019,JDE Slowdown 29 January 2019,Joseph Reynolds,jwirght@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Email,Closed,4/1/2019,2/1/2019,Stellar Murad,JDE Support Team,15,7,N/A,N/A,New Ticket,No
111118,2/4/2019,JDE Slowdown 04 February 2019,Kimberly Jones,jwirght@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,2/20/2019,2/4/2019,Satya Prakash,JDE Support Team,19,15,N/A,N/A,New Ticket,No
111117,2/1/2019,SQL ERROR,Jasper John,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,2/20/2019,2/2/2019,Raya Musk,SAP Support Team,18,6,N/A,N/A,New Ticket,No
135991,10/8/2018,FORTIGATE 200E Expiration.,Jasper John,jreynolds@yahoo.com,Emergency,Internal Technical Department,Request,Web,Resolved,12/6/2018,10/1/2019,Stellar Murad,Hardware Team,8,3,N/A,N/A,,No
111478,7/30/2020,Create Accounting Warning Error Messages,Kimberly Jones,kjones@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Open,4/8/2021,7/30/2020,Mark Jikkins,JDE Support Team,132,25,PROD,PRODUCTION,New Ticket,No
111633,3/11/2021,Chedft_2018 Error Generating,Troy Daniels,jasper.john@gmail.com,High,SAP JDE Support Department,Incident / Problem,Web,Resolved,4/7/2021,3/16/2021,Mark Jikkins,SAP Support Team,32,8,PROD,PRODUCTION,New Ticket,No
111649,3/23/2021,Error Uploading Template in Report Definition,Jane Wilberts,jasper.john@gmail.com,High,SAP JDE Support Department,Incident / Problem,Web,Open,4/5/2021,9/22/2023,Mark Jikkins,SAP Support Team,6,2,PROD,PRODUCTION,New Ticket,No
111570,12/4/2020,Applying Withholding Tax,Jane Wilberts,kjones@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Resolved,3/31/2021,12/4/2020,Mark Jikkins,JDE Support Team,38,5,PROD,PRODUCTION,New Ticket,No
111501,9/9/2020,Self Service - Legislative Information,Aurora Miller,troy.daniels@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,3/15/2021,9/12/2020,Jared Smith,JDE Support Team,59,8,PROD,PRODUCTION,New Ticket,No
111590,1/10/2021,SPMS - Approver's Page,Kenex Willows,jwilberts@mailinator.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,2/8/2021,1/11/2021,Jared Smith,JDE Support Team,13,4,PROD,PRODUCTION,New Ticket,Yes
111597,1/22/2021,UP Los Baños not included in PMP,Melody Thompson,jwilberts@mailinator.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,2/5/2021,1/22/2021,Jared Smith,JDE Support Team,14,5,PROD,PRODUCTION,New Ticket,No
111601,1/28/2021,Slow Performance,Melody Thompson,aurora.miller@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,1/29/2021,1/28/2021,Jared Smith,SAP Support Team,6,2,PROD,PRODUCTION,Close Ticket,Yes
111549,11/10/2020,Java loads but won't launch applet,Jasper John,kwillows@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,1/22/2021,11/10/2020,Jared Smith,JDE Support Team,19,11,PROD,PRODUCTION,Close Ticket,No
111588,12/29/2020,End date element entries for 300 Employees,Aurora Miller,mthompson@yahoo.com,High,SAP JDE Support Department,Request,Web,Closed,1/19/2021,12/30/2020,Jared Smith,JDE Support Team,10,1,NON-PROD,TEST,New Ticket,Yes
111565,12/1/2020,Slowdown in JDE Prod,Aurora Miller,mthompson@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,1/19/2021,12/1/2020,Jared Smith,JDE Support Team,14,2,PROD,PRODUCTION,New Ticket,No
111587,12/29/2020,Errors in ODSM,Kimberly Jones,jasper.john@gmail.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,1/13/2021,12/30/2020,Jared Smith,SAP Support Team,7,2,NON-PROD,PRODUCTION,New Ticket,No
111574,12/10/2020,12/01/2020 11:58AM ODSM Login Issue,Kenex Willows,aurora.miller@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,1/4/2021,12/10/2020,Jared Smith,SAP Support Team,5,1,PROD,PRODUCTION,Open,No
111577,12/10/2020,12/03/2020 11:37AM ODSM Issue,Tomi Yamamoto,aurora.miller@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,1/4/2021,12/10/2020,Jared Smith,SAP Support Team,5,1,PROD,PRODUCTION,Open,No
111506,9/23/2020,Create Accounting - Accounting Class Error,Aurora Miller,kjones@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Open,12/9/2020,9/24/2020,Mark Jikkins,JDE Support Team,31,3,PROD,PRODUCTION,New Ticket,Yes
111539,10/21/2020,APP-SQLAP-10000 in Payables Module,Kimberly Jones,kwillows@yahoo.com,High,SAP JDE Support Department,Request,Web,Closed,12/3/2020,10/22/2020,Jared Smith,JDE Support Team,7,0,NON-PROD,TEST,Close Ticket,No
111535,10/19/2020,VPN Setup,Melody Thompson,tyamamoto@gmail.com,High,Internal Technical Department,Request,Web,Closed,11/17/2020,10/19/2020,Jared Smith,Help Desk Team,4,0,PROD,DEVELOPMENT,New Ticket,No
111517,10/5/2020,Cannot Generate report after DB Downgrade,Kimberly Jones,aurora.miller@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,10/14/2020,10/6/2020,Jared Smith,SAP Support Team,6,1,PROD,PRODUCTION,New Ticket,No
111495,8/23/2020,Web ADI Issue,Melody Thompson,kjones@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,9/23/2020,8/24/2020,Jared Smith,JDE Support Team,21,2,PROD,PRODUCTION,New Ticket,No
111498,8/27/2020,Error still occured in BEE Spreadsheet page,Troy Daniels,mthompson@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,9/21/2020,8/27/2020,Jared Smith,JDE Support Team,18,3,PROD,PRODUCTION,New Ticket,No
111474,7/21/2020,Oracle Web ADI: Fatal Error,Tomi Yamamoto,kjones@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,8/5/2020,7/22/2020,Jared Smith,JDE Support Team,13,4,PROD,PRODUCTION,Close Ticket,No
111469,7/13/2020,Error page in BEE spreadsheet Interface,Jane Wilberts,mthompson@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,8/3/2020,7/13/2020,Jared Smith,JDE Support Team,11,5,PROD,PRODUCTION,Close Ticket,No
111446,6/18/2020,URL Attachment - Authority to Fill,Willard Smith,troy.daniels@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,7/30/2020,6/19/2020,Jared Smith,JDE Support Team,5,4,PROD,PRODUCTION,New Ticket,No
111382,2/7/2020,Set up and Configuration of ESET,Melody Thompson,tyamamoto@gmail.com,High,Internal Technical Department,Request,Web,Closed,7/13/2020,2/8/2020,Jared Smith,Network Team,4,0,N/A,N/A,New Ticket,No
111456,7/2/2020,Notifications,Melody Thompson,jwilberts@mailinator.com,High,SAP JDE Support Department,Request,Web,Closed,7/6/2020,N/A,Jared Smith,JDE Support Team,4,1,NON-PROD,TEST,Close Ticket,No
111417,4/29/2020,Workspace Problem after BPM version Upgrade,Marvin Peters,willard.smith@mailinator.com,High,Internal Technical Department,Incident / Problem,Web,Closed,6/25/2020,4/29/2020,Jared Smith,BPM - ProcessMaker Support Team,6,4,N/A,PRODUCTION,Open,No
111434,6/3/2020,Find oracle table of Position Occupancy,Reah Junes,mthompson@yahoo.com,High,SAP JDE Support Department,Request,Web,Closed,6/24/2020,N/A,Jared Smith,JDE Support Team,16,10,PROD,PRODUCTION,New Ticket,No
111437,6/8/2020,Replace actual email in TEST instance,Kenex Willows,mthompson@yahoo.com,High,SAP JDE Support Department,Request,Web,Closed,6/15/2020,N/A,Jared Smith,JDE Support Team,13,2,NON-PROD,TEST,Close Ticket,Yes
111353,12/4/2019,Can't Access My Account,John Brown,mpeters@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,5/11/2020,N/A,Jared Smith,SAP Support Team,79,4,PROD,PRODUCTION,New Ticket,No
111320,10/8/2019,Deferred PO transactions,Kenex Willows,rjunes@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,5/7/2020,N/A,Jared Smith,JDE Support Team,55,9,PROD,PRODUCTION,New Ticket,No
111390,2/18/2020,Expense Report Stuck At AME Approval Process/Block,John Brown,kwillows@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,5/6/2020,N/A,Jared Smith,JDE Support Team,24,2,PROD,PRODUCTION,Close Ticket,No
111409,4/15/2020,Server failed to start (Application Server),John Brown,jbrown@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,4/16/2020,N/A,Jared Smith,AWS Team,6,1,NON-PROD,DEVELOPMENT,Close Ticket,No
111383,2/10/2020,JDE Approval cannot be approved or transferred,Jane Wilberts,kwillows@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,4/8/2020,N/A,Jared Smith,JDE Support Team,17,2,PROD,DEVELOPMENT,New Ticket,No
111404,3/23/2020,CS 9.2 Server Issue,Melody Thompson,jbrown@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,4/2/2020,N/A,Jared Smith,SAP Support Team,6,1,NON-PROD,DEVELOPMENT,Close Ticket,Yes
111401,3/13/2020,Application Designer in 9.0 PROD,Tomi Yamamoto,jbrown@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,3/24/2020,N/A,Jared Smith,SAP Support Team,19,1,PROD,DEVELOPMENT,New Ticket,No
111393,2/28/2020,Can't Access Test Instance,Aurora Miller,jwilberts@mailinator.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,3/23/2020,N/A,Jared Smith,JDE Support Team,29,3,NON-PROD,DEVELOPMENT,New Ticket,No
111391,2/26/2020,PROD: Security changed in latest start date field,Jasper John,mthompson@yahoo.com,High,SAP JDE Support Department,Request,Web,Closed,3/5/2020,N/A,Jared Smith,JDE Support Team,20,10,PROD,DEVELOPMENT,New Ticket,Yes
111380,1/30/2020,Reset of PALO ALTO,Reah Junes,tyamamoto@gmail.com,High,Internal Technical Department,Request,Web,Closed,2/7/2020,1/30/2020,Stellar Murad,Network Team,5,0,N/A,N/A,New Ticket,No
111378,1/27/2020,SF Error,John Brown,aurora.miller@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,1/31/2020,N/A,Jared Smith,SAP Support Team,6,5,PROD,DEVELOPMENT,Close Ticket,No
111369,1/10/2020,Slow Loading of SAP Jan 10 2020,Aurora Miller,jasper.john@gmail.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,1/27/2020,N/A,Jared Smith,SAP Support Team,8,1,PROD,DEVELOPMENT,New Ticket,No
111318,10/4/2019,AME Approval Udpdates not reflecting in the DB,John Brown,rjunes@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,1/15/2020,N/A,Jared Smith,JDE Support Team,24,4,PROD,DEVELOPMENT,New Ticket,No
111361,12/23/2019,PeopleSoft Restricted Service,Marvin Peters,jbrown@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,1/8/2020,12/24/2019,Jared Smith,SAP Support Team,12,2,N/A,N/A,Close Ticket,No
111360,12/19/2019,Faculty Cannot Post Grade,John Brown,aurora.miller@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,1/6/2020,12/19/2019,Jared Smith,SAP Support Team,8,3,N/A,N/A,New Ticket,Yes
111358,12/11/2019,Unable to access the CS 9.2,Julius Wright,jbrown@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,12/23/2019,12/12/2019,Jared Smith,AWS Team,6,1,N/A,N/A,Close Ticket,No
111351,11/28/2019,Can't Login User Account,Aurora Miller,mpeters@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,12/4/2019,11/28/2019,Jared Smith,SAP Support Team,8,1,N/A,N/A,Close Ticket,No
111333,10/25/2019,Integration Gateway,Jane Wilberts,jbrown@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,12/4/2019,10/26/2019,Jared Smith,SAP Support Team,15,3,N/A,N/A,Close Ticket,No
111346,11/20/2019,JDE Prod Error Page upon login 20 Nov 2019,Troy Daniels,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,11/28/2019,11/21/2019,Jared Smith,JDE Support Team,25,2,N/A,N/A,New Ticket,No
111227,6/7/2019,Adding of subject enrollment issue,Tomi Yamamoto,aurora.miller@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,11/21/2019,6/8/2019,Jared Smith,SAP Support Team,32,4,N/A,N/A,Close Ticket,No
111334,10/25/2019,Palo Alto Update,Tomi Yamamoto,jwilberts@mailinator.com,High,Internal Technical Department,Incident / Problem,Web,Closed,11/6/2019,10/26/2019,Stellar Murad,Network Team,6,0,N/A,N/A,Close Ticket,No
111322,10/11/2019,Unable to print approved Certificate of Service,Tomi Yamamoto,troy.daniels@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,10/21/2019,10/16/2019,Jared Smith,JDE Support Team,14,7,N/A,N/A,New Ticket,No
111312,10/1/2019,Palo Alto Blocking internet of user,Kenex Willows,tyamamoto@gmail.com,High,Internal Technical Department,Incident / Problem,Web,Closed,10/21/2019,10/1/2019,Stellar Murad,Network Team,4,0,N/A,N/A,New Ticket,Yes
111301,9/17/2019,Password Reset,Julius Wright,tyamamoto@gmail.com,High,Internal Technical Department,Request,Web,Closed,10/21/2019,9/17/2019,Stellar Murad,Network Team,10,2,N/A,N/A,New Ticket,Yes
111325,10/14/2019,Requesting for on-site visit,Jane Wilberts,tyamamoto@gmail.com,High,Internal Technical Department,Request,Web,Closed,10/21/2019,10/15/2019,Stellar Murad,Network Team,4,0,N/A,N/A,New Ticket,No
111321,10/9/2019,UP Custom Application - Print Receipt Button,Kenex Willows,kwillows@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,10/18/2019,10/17/2019,Jared Smith,JDE Support Team,15,6,N/A,N/A,Close Ticket,Yes
111314,10/2/2019,JDE Prod Slowdown 02-Oct-2019,Sheila Ryder,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,10/9/2019,10/3/2019,Jared Smith,JDE Support Team,8,1,N/A,N/A,New Ticket,No
111261,7/16/2019,Port Forwarding,Atom Short,jwilberts@mailinator.com,High,Internal Technical Department,Request,Web,Closed,10/8/2019,7/16/2019,Stellar Murad,Network Team,18,1,N/A,N/A,Close Ticket,No
111317,10/4/2019,Scheduled Payment Amount different from DV Amount,Kimberly Jones,kwillows@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,10/7/2019,10/7/2019,Jared Smith,JDE Support Team,7,4,N/A,N/A,Close Ticket,No
